bundle	all_requests	all_uniq_ifa	segment_requests	segment_uniq_ifa	segment_ifa_share	requests_share	unique_traffic	format_ratio_f10	format_ratio_f41	mean_wincost_f10	bid_floor_f10	mean_wincost_f41	bid_floor_f41	ad_frequency_f10	ad_frequency_f41	views_app	views_ifa	ctr	categories_iab	categories_google	categories_annie	avg_rate_appstore
284993459	875856	261605	3	21036	0.080411	3e-06	3	1	0	0.005	0.42	0.15	13.5	48657	88126	29	20	0	"[""IAB1"",""IAB1-6""]"	"[{""id"":""35"",""value"":""0.2""},{""id"":""1462"",""value"":""0.2""},{""id"":""1109"",""value"":""0.2""},{""id"":""220"",""value"":""0.2""},{""id"":""211"",""value"":""0.1""}]"	"[""Music"",""Overall""]"	4.9
1048768805	30950	15985	2	990	0.061933	6.5e-05	2	1	0	0.005	0.42	0.15	13.5	156675	88126	10	6	0	"[""IAB5""]"	[]	"[""Education"",""Overall""]"	2.8
511310430	429353	208343	1	9133	0.043836	2e-06	1	0.79	0.21	0.005	0.44	0.15	13.5	91854	88126	0	0	0	"[""IAB2""]"	"[{""id"":""394"",""name"":"""",""value"":""0.5""},{""id"":""1462"",""name"":"""",""value"":""0.5""}]"	"[""Productivity""]"	4.8
1034630958	213001	22408	6	2635	0.117592	2.8e-05	7	0.92	0.08	0.005	0.42	0.15	107.61	43673	89667	7	2	0	"[""IAB9-30""]"	"[{""id"":""926"",""name"":"""",""value"":""0.3""},{""id"":""1462"",""name"":"""",""value"":""0.3""},{""id"":""381"",""name"":"""",""value"":""0.3""},{""id"":""930"",""name"":"""",""value"":""0.2""}]"	"[""Action (Games)"",""Arcade (Games)"",""Overall"",""Games""]"	4.3
1235581326	456011	12862	15	1501	0.1167	3.3e-05	21	0.94	0.06	0.005	3.18	0.15	107.61	16132	34257	666	80	0.06	"[""IAB9-30""]"	"[{""id"":""926"",""name"":"""",""value"":""0.5""},{""id"":""1462"",""name"":"""",""value"":""0.5""}]"	"[""Sports (Games)"",""Arcade (Games)"",""Overall"",""Games""]"	3.9
1236677535	256488	49561	4	10328	0.20839	1.6e-05	4	0.95	0.05	0.005	0.42	0.15	108.11	41673	127276	149	70	0.01	"[""IAB1"",""IAB9-30""]"	"[{""id"":""926"",""name"":"""",""value"":""0.3""},{""id"":""182"",""name"":"""",""value"":""0.3""},{""id"":""33"",""name"":"""",""value"":""0.2""},{""id"":""694"",""name"":"""",""value"":""0.2""}]"	"[""unknown""]"	4.3
417281773	5641933	590412	5	35776	0.060595	1e-06	6	0.79	0.21	0.005	0.44	0.15	13.5	91854	88126	0	0	0	"[""IAB18"",""IAB22""]"	"[{""id"":""61"",""value"":""0.5""},{""id"":""1462"",""value"":""0.5""}]"	"[""Shopping""]"	4.4
473939766	13399	9507	1	966	0.101609	7.5e-05	1	0	1	0.005	0.44	0.15	107.6	91854	133771	30	27	0.07	"[""IAB14"",""IAB18""]"	"[{""id"":""529"",""value"":""0.3""},{""id"":""55"",""value"":""0.3""},{""id"":""1462"",""value"":""0.3""}]"	"[""Overall"",""Social Networking""]"	2.9
1062417998	34624	4813	5	608	0.126325	0.000144	5	0.91	0.09	0.005	0.42	0.15	103.01	18276	53960	6	4	0	"[""IAB18""]"	"[{""id"":""220"",""value"":""0.2""},{""id"":""1090"",""value"":""0.2""},{""id"":""1462"",""value"":""0.2""},{""id"":""211"",""value"":""0.2""},{""id"":""1071"",""value"":""0.2""}]"	"[""Lifestyle""]"	4.5
964748094	9447	4590	2	189	0.041176	0.000212	2	1	0	0.005	0.42	0.15	13.5	53735	88126	0	0	0	"[""IAB18""]"	"[{""id"":""456"",""value"":""0.5""},{""id"":""1462"",""value"":""0.5""}]"	"[""Health and Fitness""]"	4.4
