CODE;NAME;BRANCH
01;Республика Адыгея;23
02;Республика Башкортостан;63
03;Республика Бурятия;27
04;Республика Алтай;54
05;Республика Дагестан;23
06;Республика Ингушетия;23
07;Кабардино-Балкарская республика;23
08;Республика Калмыкия;63
09;Карачаево-Черкесская республика;23
10;Республика Карелия;78
11;Республика Коми;66
12;Республика Марий Эл;63
123;Краснодарский край без Сочи;23
129;Архангельская область;78
13;Республика Мордовия;63
14;Республика Саха (Якутия);27
15;Республика Северная Осетия - Алания;23
16;Республика Татарстан;63
17;Республика Тыва (Тува);54
177;Москва и Московская область;77
178;Санкт-Петербург и Ленинградская область;78
18;Удмуртская республика;66
19;Республика Хакасия;54
20;Чеченская республика;23
21;Чувашская республика;63
22;Алтайский край;54
223;Краснодарский край. Сочи;23
24;Красноярский край;54
25;Приморский край;27
26;Ставропольский край;23
27;Хабаровский край;27
28;Амурская область;27
30;Астраханская область;63
31;Белгородская область;23
32;Брянская область;52
33;Владимирская область;52
34;Волгоградская область;63
35;Вологодская область;78
36;Воронежская область;23
37;Ивановская область;78
38;Иркутская область;27
39;Калининградская область;78
40;Калужская область;52
41;Камчатский край;27
42;Кемеровская область;54
43;Кировская область;66
44;Костромская область;78
45;Курганская область;66
46;Курская область;52
48;Липецкая область;23
49;Магаданская область;27
51;Мурманская область;78
52;Нижегородская область;52
53;Новгородская область;78
54;Новосибирская область;54
55;Омская область;54
56;Оренбургская область;63
57;Орловская область;52
58;Пензенская область;63
59;Пермский край;66
60;Псковская область;78
61;Ростовская область;23
62;Рязанская область;52
63;Самарская область;63
64;Саратовская область;63
65;Сахалинская область;27
66;Свердловская область;66
67;Смоленская область;78
68;Тамбовская область;23
69;Тверская область;78
70;Томская область;54
71;Тульская область;52
72;Тюменская область;66
73;Ульяновская область;63
74;Челябинская область;66
75;Забайкальский край;27
76;Ярославская область;78
79;Еврейская автономная область;27
86;Ханты-Мансийский автономный округ;66
87;Чукотский автономный округ;27
89;Ямало-Ненецкий автономный округ;66
95;Абхазия;23
96;Южная Осетия;23
